reseña_bruta;rating;tema_principal
se equivocaron pero lo solucionaron tarde 😡;2;errores_pedido
En general, estuvo aceptable. hubo un pequeño error pero nada grave;3;errores_pedido
Fue una experiencia muy agradable. llego rapido 👍;4;tiempo_entrega
siempre hay cobertura en mi zona 👍 😊;5;cobertura_zona
En general, estuvo aceptable. a veces hay servicio a veces no;3;cobertura_zona
SIEMPRE HAY COBERTURA EN MI ZONA 👍;5;cobertura_zona
ESPECTACULAR LA COMIDA 😍🔥 👏;5;calidad_comida
SUPER rapido en menos de 15min 😍;5;tiempo_entrega
La experiencia fue excelente. app facil de usar 👍;4;usabilidad_app
soporte inutil 😡;1;soporte_cliente
NORMALMENTE HAY REPARTIDORES DISPONIBLES 😊;4;cobertura_zona
En general, estuvo aceptable. calidad normal, nada especial;3;calidad_comida
comida fria y pasada 😡;1;calidad_comida
nunca llega el pedido pfff 👎;1;tiempo_entrega
Fue una experiencia muy agradable. buen precio para la calidad;4;precio
ATENCION PESIMA NO RESPONDEN 😡;1;soporte_cliente
buena atencion al cliente 😊 👍;4;soporte_cliente
normalmente hay repartidores disponibles;4;cobertura_zona
No fue nada fuera de lo común. calidad normal, nada especial;3;calidad_comida
precios abusivos;1;precio
APP FACIL DE USAR 👍 😊;4;usabilidad_app
todo correcto esta vez 👍;4;errores_pedido
super barato con la promo 🔥;5;precio
buena atencion al cliente 😊;4;soporte_cliente
normalmente hay repartidores disponibles 😊;4;cobertura_zona
buen tencion l cliente 😊 pfff;4;soporte_cliente
Todo salió realmente bien. soporte excelente solucionaron todo 👏;5;soporte_cliente
atencion pesima no responden 😡;1;soporte_cliente
tiempo norml supongo;3;tiempo_entrega
impresionnte lo rpido que llego 🔥;5;tiempo_entrega
Todo salió realmente bien. todo correcto esta vez 👍;4;errores_pedido
LLEGO TARDE OTRA VEZ 😤;2;tiempo_entrega
tardo muchisimo la entrega;2;tiempo_entrega
SE EQUIVOCARON PERO LO SOLUCIONARON TARDE;2;errores_pedido
Cumplió sin destacar demasiado. FUNCIONA PERO A VECES FALLA;3;usabilidad_app
buen precio para la calidad meh;4;precio
ENTREGA BASTANTE RAPIDA LA VERDAD 👏;4;tiempo_entrega
super brto con l promo 🔥 😍;5;precio
siempre hy cobertur en mi zon 👍 pfff;5;cobertura_zona
Fue una experiencia estándar. precio normal supongo;3;precio
TODO CORRECTO ESTA VEZ 👍 👏;4;errores_pedido
no muy buena la calidad pfff;2;calidad_comida
Quedé muy satisfecho con el servicio. buen precio para la calidad;4;precio
Quedé bastante decepcionado. faltaban productos;1;errores_pedido
HUBO UN PEQUEÑO ERROR PERO NADA GRAVE;3;errores_pedido
buen precio para la calidad 😍;4;precio
me ayudaron pero lento;3;soporte_cliente
clidd increible me encnto;5;calidad_comida
No fue una buena experiencia. precios abusivos;1;precio
app facil de usar 👍 brutal;4;usabilidad_app
poc cobertur donde vivo 😭 pfff;2;cobertura_zona
CARISIMO para lo que es 💸 😭;1;precio
pedido incorrecto otra vez 😡;1;errores_pedido
hubo un pequeño error pero nd grve;3;errores_pedido
a veces hay servicio a veces no ok;3;cobertura_zona
ALGO FRIA PERO COMIBLE;2;calidad_comida
NORMALMENTE HAY REPARTIDORES DISPONIBLES 😍;4;cobertura_zona
soporte excelente solucionaron todo 👏 👍;5;soporte_cliente
El servicio fue insatisfactorio. VA LENTA Y SE TRABA 🤦;2;usabilidad_app
precios busivos pfff;1;precio
soporte inutil;1;soporte_cliente
El servicio fue insatisfactorio. faltaban productos;1;errores_pedido
pedido perfecto sin errores 👏 🔥;5;errores_pedido
PRECIO NORMAL SUPONGO;3;precio
Fue una experiencia muy agradable. buen precio para la calidad;4;precio
funciona pero a veces falla;3;usabilidad_app
ESPECTACULAR la comida 😍🔥;5;calidad_comida
normlmente hy reprtidores disponibles;4;cobertura_zona
atencion pesima no responden 😡 😭;1;soporte_cliente
soporte excelente solucionron todo 👏 👏;5;soporte_cliente
tiempo normal supongo;3;tiempo_entrega
llego tarde otra vez 😤 😤 pfff;2;tiempo_entrega
pedido perfecto sin errores 👏 👍 pfff;5;errores_pedido
SABE FATAL, INCOMIBLE;1;calidad_comida
pedido perfecto sin errores 👏 ok;5;errores_pedido
No fue nada fuera de lo común. funciona pero a veces falla;3;usabilidad_app
buen tencion l cliente 😊;4;soporte_cliente
La experiencia fue excelente. soporte excelente solucionaron todo 👏;5;soporte_cliente
algo fria pero comible pfff;2;calidad_comida
no hay repartidores en mi zona 😡;1;cobertura_zona
super brto con l promo 🔥 🔥;5;precio
CALIDAD NORMAL, NADA ESPECIAL;3;calidad_comida
normalmente hay repartidores disponibles 👏;4;cobertura_zona
No cumplió con lo esperado. soporte inutil;1;soporte_cliente
ALGO FRIA PERO COMIBLE brutal;2;calidad_comida
precios busivos 🤦;1;precio
ME ENCANTA LA INTERFAZ SUPER INTUITIVA 😍;5;usabilidad_app
No fue nada fuera de lo común. precio normal supongo;3;precio
TARDARON EN CONTESTAR;2;soporte_cliente
No cumplió con lo esperado. soporte inutil;1;soporte_cliente
llego un poco trde pero ok brutal;3;tiempo_entrega
se equivocron pero lo solucionron trde;2;errores_pedido
la app no funciona se cuelga 😡;1;usabilidad_app
No cumplió con lo esperado. VA LENTA Y SE TRABA;2;usabilidad_app
soporte excelente solucionaron todo 👏 😍 brutal;5;soporte_cliente
sabe fatal, incomible 😡;1;calidad_comida
PEDIDO PERFECTO SIN ERRORES 👏 😊;5;errores_pedido
El servicio fue insatisfactorio. TARDARON EN CONTESTAR;2;soporte_cliente
TODO SABROSO Y CALENTITO 😊 pfff;4;calidad_comida
algo caro la verdad 😤;2;precio
La experiencia dejó mucho que desear. comida fria y pasada 😡;1;calidad_comida
IMPRESIONANTE LO RAPIDO QUE LLEGO 🔥 pfff;5;tiempo_entrega
Superó mis expectativas. buen tencion l cliente 😊;4;soporte_cliente
ME ENCANTA la interfaz super intuitiva 😍;5;usabilidad_app
SOPORTE EXCELENTE SOLUCIONARON TODO 👏;5;soporte_cliente
No cumplió con lo esperado. PEDI hace 2 horas y no llega 😡;1;tiempo_entrega
siempre hay cobertura en mi zona 👍 ok;5;cobertura_zona
LLEGO UN POCO TARDE PERO OK;3;tiempo_entrega
buen precio para la calidad ok;4;precio
Todo salió realmente bien. normalmente hay repartidores disponibles;4;cobertura_zona
Todo salió realmente bien. ESPECTACULAR la comida 😍🔥;5;calidad_comida
tardo muchisimo la entrega 😡;2;tiempo_entrega
NORMALMENTE HAY REPARTIDORES DISPONIBLES 🔥;4;cobertura_zona
super brto con l promo 🔥 brutal;5;precio
Simplemente correcto. precio normal supongo;3;precio
CALIDAD INCREIBLE ME ENCANTO;5;calidad_comida
calidad increible me encanto;5;calidad_comida
RICA Y BIEN PREPARADA 😊 👍;4;calidad_comida
Superó mis expectativas. ME ENCANTA LA INTERFAZ SUPER INTUITIVA 😍;5;usabilidad_app
SIEMPRE HAY COBERTURA EN MI ZONA 👍 ok;5;cobertura_zona
se equivocaron pero lo solucionaron tarde brutal;2;errores_pedido
no muy buena la calidad ok;2;calidad_comida
Superó mis expectativas. buen precio para la calidad;4;precio
Todo salió realmente bien. normalmente hay repartidores disponibles;4;cobertura_zona
NO MUY BUENA LA CALIDAD;2;calidad_comida
La experiencia fue excelente. normalmente hay repartidores disponibles;4;cobertura_zona
funcion pero  veces fll;3;usabilidad_app
Superó mis expectativas. SOPORTE EXCELENTE SOLUCIONARON TODO 👏;5;soporte_cliente
rica y bien preparada 😊 pfff;4;calidad_comida
Fue una experiencia muy agradable. super barato con la promo 🔥;5;precio
CARISIMO para lo que es 💸;1;precio
No fue una buena experiencia. atencion pesima no responden 😡;1;soporte_cliente
llego tarde otra vez 😤 🤦 pfff;2;tiempo_entrega
Cumplió sin destacar demasiado. a veces hay servicio a veces no;3;cobertura_zona
todo correcto esta vez 👍 😍;4;errores_pedido
No fue nada fuera de lo común. precio normal supongo;3;precio
rica y bien preparada 😊 meh;4;calidad_comida
buen precio para la calidad brutal;4;precio
Simplemente correcto. me ayudaron pero lento;3;soporte_cliente
atencion pesima no responden 😡 😤;1;soporte_cliente
La experiencia fue excelente. buena atencion al cliente 😊;4;soporte_cliente
La experiencia fue excelente. calidad increible me encanto;5;calidad_comida
me yudron pero lento pfff;3;soporte_cliente
crashea todo el rato 😤 brutal;1;usabilidad_app
Cumplió sin destacar demasiado. precio normal supongo;3;precio
TIEMPO NORMAL SUPONGO;3;tiempo_entrega
comid fri y psd 😡 ok;1;calidad_comida
Fue una experiencia muy agradable. rica y bien preparada 😊;4;calidad_comida
veces hy servicio  veces no;3;cobertura_zona
SUPER rapido en menos de 15min 😍 😍;5;tiempo_entrega
En general, estuvo aceptable. tiempo normal supongo;3;tiempo_entrega
El servicio fue insatisfactorio. soporte inutil 😡;1;soporte_cliente
crashea todo el rato;1;usabilidad_app
Simplemente correcto. CALIDAD NORMAL, NADA ESPECIAL;3;calidad_comida
No fue nada fuera de lo común. HUBO UN PEQUEÑO ERROR PERO NADA GRAVE;3;errores_pedido
Quedé bastante decepcionado. soporte inutil;1;soporte_cliente
LLEGO RAPIDO 👍;4;tiempo_entrega
va lenta y se traba;2;usabilidad_app
Quedé muy satisfecho con el servicio. todo correcto esta vez 👍;4;errores_pedido
buena atencion al cliente 😊 🔥 pfff;4;soporte_cliente
La experiencia dejó mucho que desear. llego tarde otra vez 😤;2;tiempo_entrega
ric y bien preprd 😊;4;calidad_comida
En general, estuvo aceptable. hubo un pequeño error pero nada grave;3;errores_pedido
clidd norml, nd especil;3;calidad_comida
La experiencia fue excelente. SIEMPRE HAY COBERTURA EN MI ZONA 👍;5;cobertura_zona
Quedé muy satisfecho con el servicio. normalmente hay repartidores disponibles;4;cobertura_zona
HUBO UN PEQUEÑO ERROR PERO NADA GRAVE ok;3;errores_pedido
Quedé muy satisfecho con el servicio. todo correcto esta vez 👍;4;errores_pedido
ENTREGA BASTANTE RAPIDA LA VERDAD 👍;4;tiempo_entrega
CARISIMO PARA LO QUE ES 💸 👎;1;precio
Fue una experiencia muy agradable. pedido perfecto sin errores 👏;5;errores_pedido
entreg bstnte rpid l verdd fatal;4;tiempo_entrega
SUPER RAPIDO EN MENOS DE 15MIN 😍 👍;5;tiempo_entrega
LA APP NO FUNCIONA SE CUELGA 😡;1;usabilidad_app
En general, estuvo aceptable. calidad normal, nada especial;3;calidad_comida
La experiencia fue excelente. rica y bien preparada 😊;4;calidad_comida
la app no funciona se cuelga 😡 🤦;1;usabilidad_app
algo caro la verdad;2;precio
tardo muchisimo la entrega fatal;2;tiempo_entrega
La experiencia fue excelente. CALIDAD INCREIBLE ME ENCANTO;5;calidad_comida
Fue una experiencia estándar. calidad normal, nada especial;3;calidad_comida
En general, estuvo aceptable. precio normal supongo;3;precio
Cumplió sin destacar demasiado. hubo un pequeño error pero nada grave;3;errores_pedido
Quedé muy satisfecho con el servicio. ric y bien preprd 😊;4;calidad_comida
Fue una experiencia muy agradable. entrega bastante rapida la verdad;4;tiempo_entrega
Fue una experiencia muy agradable. normalmente hay repartidores disponibles;4;cobertura_zona
faltaban productos pfff;1;errores_pedido
No fue una buena experiencia. atencion pesima no responden 😡;1;soporte_cliente
La experiencia dejó mucho que desear. pedido incorrecto otra vez 😡;1;errores_pedido
No fue una buena experiencia. no hay repartidores en mi zona 😡;1;cobertura_zona
El servicio fue insatisfactorio. va lenta y se traba;2;usabilidad_app
Cumplió sin destacar demasiado. me yudron pero lento;3;soporte_cliente
TODO CORRECTO ESTA VEZ 👍 meh;4;errores_pedido
Superó mis expectativas. CALIDAD INCREIBLE ME ENCANTO;5;calidad_comida
PRECIO NORMAL SUPONGO brutal;3;precio
Superó mis expectativas. buen precio para la calidad;4;precio
super brto con l promo 🔥;5;precio
todo sabroso y calentito 😍;4;calidad_comida
hubo un pequeño error pero nd grve fatal;3;errores_pedido
BUENA ATENCION AL CLIENTE 😊 😍;4;soporte_cliente
Fue una experiencia muy agradable. llego rapido 👍;4;tiempo_entrega
nunc hy disponibilidd 😡;1;cobertura_zona
atencion pesima no responden 😡 😡;1;soporte_cliente
La experiencia dejó mucho que desear. no hay repartidores en mi zona 😡;1;cobertura_zona
Todo salió realmente bien. super barato con la promo 🔥;5;precio
me trajeron otra cosa;1;errores_pedido
No fue nada fuera de lo común. calidad normal, nada especial;3;calidad_comida
buen precio para la calidad 🔥;4;precio
La experiencia dejó mucho que desear. va lenta y se traba;2;usabilidad_app
A VECES HAY SERVICIO A VECES NO;3;cobertura_zona
El servicio fue insatisfactorio. algo caro la verdad;2;precio
super barato con la promo 🔥 😍;5;precio
pp fcil de usr 👍 👏 pfff;4;usabilidad_app
entrega bastante rapida la verdad 🔥;4;tiempo_entrega
ENTREGA BASTANTE RAPIDA LA VERDAD;4;tiempo_entrega
se equivocaron pero lo solucionaron tarde meh;2;errores_pedido
40 min de retraso, un desastre;1;tiempo_entrega
La experiencia fue excelente. rica y bien preparada 😊;4;calidad_comida
app facil de usar 👍 fatal;4;usabilidad_app
La experiencia dejó mucho que desear. tardaron en contestar;2;soporte_cliente
La experiencia dejó mucho que desear. no hay repartidores en mi zona 😡;1;cobertura_zona
HUBO UN PEQUEÑO ERROR PERO NADA GRAVE fatal;3;errores_pedido
la app no funciona se cuelga 😡 👎;1;usabilidad_app
CALIDAD INCREIBLE ME ENCANTO 😊;5;calidad_comida
La experiencia fue excelente. buena atencion al cliente 😊;4;soporte_cliente
poca cobertura donde vivo;2;cobertura_zona
La experiencia fue excelente. buena atencion al cliente 😊;4;soporte_cliente
poca cobertura donde vivo pfff;2;cobertura_zona
BUENA ATENCION AL CLIENTE 😊 👍;4;soporte_cliente
pedido perfecto sin errores 👏 😊;5;errores_pedido
CARISIMO pr lo que es 💸;1;precio
No fue nada fuera de lo común. HUBO UN PEQUEÑO ERROR PERO NADA GRAVE;3;errores_pedido
Todo salió realmente bien. BUEN PRECIO PARA LA CALIDAD;4;precio
RICA Y BIEN PREPARADA 😊 😍;4;calidad_comida
40 min de retraso, un desastre 😤;1;tiempo_entrega
Quedé bastante decepcionado. no hay repartidores en mi zona 😡;1;cobertura_zona
No fue una buena experiencia. soporte inutil;1;soporte_cliente
tardo muchisimo la entrega 😭;2;tiempo_entrega
La experiencia dejó mucho que desear. comida fria y pasada 😡;1;calidad_comida
Fue una experiencia muy agradable. ENTREGA BASTANTE RAPIDA LA VERDAD;4;tiempo_entrega
La experiencia fue excelente. rica y bien preparada 😊;4;calidad_comida
TARDARON EN CONTESTAR 👎;2;soporte_cliente
SIEMPRE HAY COBERTURA EN MI ZONA 👍 👏 meh;5;cobertura_zona
TARDO MUCHISIMO LA ENTREGA;2;tiempo_entrega
La experiencia fue excelente. APP FACIL DE USAR 👍;4;usabilidad_app
APP FACIL DE USAR 👍 😊 pfff;4;usabilidad_app
soporte excelente solucionaron todo 👏 😍;5;soporte_cliente
El servicio fue insatisfactorio. ATENCION PESIMA NO RESPONDEN 😡;1;soporte_cliente
rica y bien preparada 😊 😍 pfff;4;calidad_comida
super barato con la promo 🔥 ok;5;precio
En general, estuvo aceptable. funciona pero a veces falla;3;usabilidad_app
siempre hay cobertura en mi zona 👍;5;cobertura_zona
Cumplió sin destacar demasiado. FUNCIONA PERO A VECES FALLA;3;usabilidad_app
ME AYUDARON PERO LENTO meh;3;soporte_cliente
El servicio fue insatisfactorio. llego tarde otra vez 😤;2;tiempo_entrega
me yudron pero lento ok;3;soporte_cliente
nunca hay disponibilidad;1;cobertura_zona
Quedé bastante decepcionado. algo caro la verdad;2;precio
Fue una experiencia estándar. CALIDAD NORMAL, NADA ESPECIAL;3;calidad_comida
No fue una buena experiencia. va lenta y se traba;2;usabilidad_app
comida fria y pasada 😡 👎;1;calidad_comida
Todo salió realmente bien. super barato con la promo 🔥;5;precio
RICA Y BIEN PREPARADA 😊 brutal;4;calidad_comida
Todo salió realmente bien. siempre hy cobertur en mi zon 👍;5;cobertura_zona
Fue una experiencia estándar. funciona pero a veces falla;3;usabilidad_app
ALGO CARO LA VERDAD;2;precio
Simplemente correcto. TIEMPO NORMAL SUPONGO;3;tiempo_entrega
No cumplió con lo esperado. algo caro la verdad;2;precio
No cumplió con lo esperado. llego tarde otra vez 😤;2;tiempo_entrega
En general, estuvo aceptable. me yudron pero lento;3;soporte_cliente
TARDO MUCHISIMO LA ENTREGA 😤 brutal;2;tiempo_entrega
BUEN PRECIO PARA LA CALIDAD 😊;4;precio
Quedé muy satisfecho con el servicio. llego rpido 👍;4;tiempo_entrega
nunca llega el pedido pfff 😤;1;tiempo_entrega
Todo salió realmente bien. ME ENCANTA LA INTERFAZ SUPER INTUITIVA 😍;5;usabilidad_app
No fue nada fuera de lo común. me ayudaron pero lento;3;soporte_cliente
Superó mis expectativas. buena atencion al cliente 😊;4;soporte_cliente
La experiencia dejó mucho que desear. atencion pesima no responden 😡 😭;1;soporte_cliente
rica y bien preparada 😊 😊;4;calidad_comida
impresionante lo rapido que llego 🔥 brutal;5;tiempo_entrega
Quedé bastante decepcionado. soporte inutil;1;soporte_cliente
se equivocaron pero lo solucionaron tarde fatal;2;errores_pedido
buen precio pr l clidd 👍;4;precio
La experiencia dejó mucho que desear. CARISIMO para lo que es 💸;1;precio
No fue una buena experiencia. CARISIMO para lo que es 💸;1;precio
Superó mis expectativas. app facil de usar 👍;4;usabilidad_app
BUENA ATENCION AL CLIENTE 😊;4;soporte_cliente
nunca hay disponibilidad fatal;1;cobertura_zona
tardaron en contestar pfff;2;soporte_cliente
pedido perfecto sin errores 👏 😍 pfff;5;errores_pedido
algo fria pero comible;2;calidad_comida
Fue una experiencia muy agradable. buen precio para la calidad ok;4;precio
BUEN PRECIO PARA LA CALIDAD pfff;4;precio
ME TRAJERON OTRA COSA;1;errores_pedido
hubo un pequeño error pero nada grave meh;3;errores_pedido
todo sabroso y calentito;4;calidad_comida
No cumplió con lo esperado. tardaron en contestar;2;soporte_cliente
algo caro la verdad meh;2;precio
No fue una buena experiencia. atencion pesima no responden 😡 😡;1;soporte_cliente
pedido incorrecto otra vez 😡 😭;1;errores_pedido
No fue una buena experiencia. la app no funciona se cuelga 😡;1;usabilidad_app
SOPORTE INUTIL;1;soporte_cliente
Todo salió realmente bien. BUENA ATENCION AL CLIENTE 😊;4;soporte_cliente
todo correcto esta vez 👍 👏;4;errores_pedido
Fue una experiencia estándar. me ayudaron pero lento;3;soporte_cliente
Fue una experiencia estándar. CALIDAD NORMAL, NADA ESPECIAL;3;calidad_comida
La experiencia dejó mucho que desear. tardo muchisimo la entrega;2;tiempo_entrega
VA LENTA Y SE TRABA pfff;2;usabilidad_app
buen tencion l cliente 😊 👍;4;soporte_cliente
lgo fri pero comible pfff;2;calidad_comida
pedido perfecto sin errores 👏 🔥 fatal;5;errores_pedido
pp fcil de usr 👍;4;usabilidad_app
Quedé bastante decepcionado. poca cobertura donde vivo;2;cobertura_zona
app facil de usar 👍 pfff;4;usabilidad_app
Quedé muy satisfecho con el servicio. soporte excelente solucionaron todo 👏;5;soporte_cliente
SUPER BARATO CON LA PROMO 🔥 👏 meh;5;precio
Cumplió sin destacar demasiado. HUBO UN PEQUEÑO ERROR PERO NADA GRAVE;3;errores_pedido
Todo salió realmente bien. pp fcil de usr 👍;4;usabilidad_app
Fue una experiencia muy agradable. soporte excelente solucionaron todo 👏 👍;5;soporte_cliente
Superó mis expectativas. buen precio para la calidad;4;precio
Simplemente correcto. FUNCIONA PERO A VECES FALLA;3;usabilidad_app
llego un poco tarde pero ok;3;tiempo_entrega
CARISIMO PARA LO QUE ES 💸 😡;1;precio
La experiencia fue excelente. app facil de usar 👍;4;usabilidad_app
La experiencia fue excelente. normalmente hay repartidores disponibles;4;cobertura_zona
llego rpido 👍 😊;4;tiempo_entrega
La experiencia dejó mucho que desear. VA LENTA Y SE TRABA;2;usabilidad_app
todo sbroso y clentito;4;calidad_comida
impresionante lo rapido que llego 🔥 😊 fatal;5;tiempo_entrega
Todo salió realmente bien. pedido perfecto sin errores 👏;5;errores_pedido
La experiencia dejó mucho que desear. NO MUY BUENA LA CALIDAD;2;calidad_comida
PRECIO NORMAL SUPONGO pfff;3;precio
Simplemente correcto. me ayudaron pero lento;3;soporte_cliente
entreg bstnte rpid l verdd;4;tiempo_entrega
El servicio fue insatisfactorio. llego tarde otra vez 😤;2;tiempo_entrega
super barato con la promo 🔥 meh;5;precio
Simplemente correcto. hubo un pequeño error pero nada grave;3;errores_pedido
La experiencia fue excelente. SIEMPRE HAY COBERTURA EN MI ZONA 👍;5;cobertura_zona
No cumplió con lo esperado. ALGO CARO LA VERDAD;2;precio
La experiencia fue excelente. todo sbroso y clentito;4;calidad_comida
Todo salió realmente bien. SIEMPRE HAY COBERTURA EN MI ZONA 👍;5;cobertura_zona
En general, estuvo aceptable. funciona pero a veces falla;3;usabilidad_app
veces hy servicio  veces no meh;3;cobertura_zona
NUNCA HAY DISPONIBILIDAD 😡;1;cobertura_zona
Fue una experiencia muy agradable. pedido perfecto sin errores 👏;5;errores_pedido
impresionante lo rapido que llego 🔥;5;tiempo_entrega
40 MIN DE RETRASO, UN DESASTRE;1;tiempo_entrega
Cumplió sin destacar demasiado. tiempo normal supongo;3;tiempo_entrega
Fue una experiencia estándar. a veces hay servicio a veces no;3;cobertura_zona
No fue una buena experiencia. la app no funciona se cuelga 😡 🤦;1;usabilidad_app
No fue nada fuera de lo común. a veces hay servicio a veces no;3;cobertura_zona
No fue nada fuera de lo común. hubo un pequeño error pero nada grave;3;errores_pedido
Quedé muy satisfecho con el servicio. todo sabroso y calentito 😍;4;calidad_comida
No fue una buena experiencia. comida fria y pasada 😡;1;calidad_comida
No fue nada fuera de lo común. me ayudaron pero lento;3;soporte_cliente
Superó mis expectativas. SIEMPRE HAY COBERTURA EN MI ZONA 👍;5;cobertura_zona
No fue una buena experiencia. va lenta y se traba;2;usabilidad_app
precios abusivos ok;1;precio
No fue una buena experiencia. poca cobertura donde vivo;2;cobertura_zona
va lenta y se traba 😤 ok;2;usabilidad_app
40 MIN DE RETRASO, UN DESASTRE 😤;1;tiempo_entrega
No fue una buena experiencia. ALGO FRIA PERO COMIBLE brutal;2;calidad_comida
Simplemente correcto. hubo un pequeño error pero nada grave;3;errores_pedido
buen precio pr l clidd;4;precio
La experiencia dejó mucho que desear. tardaron en contestar;2;soporte_cliente
VA LENTA Y SE TRABA 😡 meh;2;usabilidad_app
La experiencia dejó mucho que desear. no hay repartidores en mi zona 😡;1;cobertura_zona
Simplemente correcto. calidad normal, nada especial;3;calidad_comida
Fue una experiencia muy agradable. ME ENCANTA LA INTERFAZ SUPER INTUITIVA 😍;5;usabilidad_app
super brto con l promo 🔥 fatal;5;precio
Superó mis expectativas. super barato con la promo 🔥;5;precio
tardaron en contestar brutal;2;soporte_cliente
todo correcto est vez 👍 👏;4;errores_pedido
no muy buena la calidad;2;calidad_comida
app facil de usar 👍 🔥;4;usabilidad_app
TODO CORRECTO ESTA VEZ 👍 ok;4;errores_pedido
No fue una buena experiencia. llego tarde otra vez 😤;2;tiempo_entrega
Quedé bastante decepcionado. nunca hay disponibilidad;1;cobertura_zona
SUPER RAPIDO EN MENOS DE 15MIN 😍 😊 meh;5;tiempo_entrega
BUEN PRECIO PARA LA CALIDAD 😍 pfff;4;precio
Quedé bastante decepcionado. no muy buena la calidad;2;calidad_comida
Cumplió sin destacar demasiado. precio normal supongo;3;precio
pedido perfecto sin errores 👏 pfff;5;errores_pedido
No fue nada fuera de lo común. calidad normal, nada especial;3;calidad_comida
El servicio fue insatisfactorio. SOPORTE INUTIL;1;soporte_cliente
PEDIDO PERFECTO SIN ERRORES 👏 meh;5;errores_pedido
Quedé muy satisfecho con el servicio. normalmente hay repartidores disponibles;4;cobertura_zona
PEDIDO PERFECTO SIN ERRORES 👏 😍 fatal;5;errores_pedido
SOPORTE INUTIL 😤 brutal;1;soporte_cliente
buen precio para la calidad 👏;4;precio
La experiencia fue excelente. pedido perfecto sin errores 👏;5;errores_pedido
No fue nada fuera de lo común. me ayudaron pero lento;3;soporte_cliente
buena atencion al cliente 😊 😍;4;soporte_cliente
La experiencia fue excelente. ME ENCANTA LA INTERFAZ SUPER INTUITIVA 😍;5;usabilidad_app
Cumplió sin destacar demasiado. FUNCIONA PERO A VECES FALLA;3;usabilidad_app
ME ENCANTA l interfz super intuitiv 😍;5;usabilidad_app
Cumplió sin destacar demasiado. a veces hay servicio a veces no;3;cobertura_zona
soporte excelente solucionaron todo 👏 fatal;5;soporte_cliente
